Date : 2024-06-28 22:57:10
Directory : d:\project\DATN\spotify-clone\server
Total : 171 files,  5707 codes, 304 comments, 1129 blanks, all 7140 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| prisma\migrations\20240516182159_change_name_table                                                                  |          1 |         41 |         27 |         22 |         90 |
| prisma\migrations\20240518112024_change_name_playlist                                                               |          1 |          4 |         11 |          3 |         18 |
| prisma\migrations\20240518161238_change_playlist_relation                                                           |          1 |         18 |         16 |         11 |         45 |
| prisma\migrations\20240522091728_update_banner                                                                      |          1 |          4 |          4 |          4 |         12 |
| src                                                                                                                 |        141 |      4,622 |        122 |        923 |      5,667 |
| src (Files)                                                                                                         |          4 |        228 |         52 |         33 |        313 |
| src\core                                                                                                            |         58 |      2,179 |         56 |        401 |      2,636 |
| src\core\config                                                                                                     |          2 |        104 |          0 |         12 |        116 |
| src\core\constant                                                                                                   |          1 |         26 |          2 |          1 |         29 |
| src\core\decorator                                                                                                  |          8 |         66 |          0 |         22 |         88 |
| src\core\enum                                                                                                       |          3 |        405 |          3 |         48 |        456 |
| src\core\global                                                                                                     |         32 |      1,267 |         43 |        252 |      1,562 |
| src\core\global\auth                                                                                                |         14 |        477 |         18 |        107 |        602 |
| src\core\global\auth (Files)                                                                                        |          3 |        181 |          1 |         32 |        214 |
| src\core\global\auth\dto                                                                                            |          3 |         53 |          0 |         11 |         64 |
| src\core\global\auth\guard                                                                                          |          2 |         68 |          5 |         17 |         90 |
| src\core\global\auth\interface                                                                                      |          2 |         27 |          3 |          5 |         35 |
| src\core\global\auth\strategy                                                                                       |          1 |         33 |          9 |         10 |         52 |
| src\core\global\auth\swagger                                                                                        |          3 |        115 |          0 |         32 |        147 |
| src\core\global\auth\swagger\output                                                                                 |          3 |        115 |          0 |         32 |        147 |
| src\core\global\constance                                                                                           |          2 |         44 |          1 |         10 |         55 |
| src\core\global\ecs                                                                                                 |          2 |         62 |          1 |         18 |         81 |
| src\core\global\i18nCustom                                                                                          |          2 |         44 |          1 |          7 |         52 |
| src\core\global\prisma                                                                                              |          2 |         54 |          0 |          8 |         62 |
| src\core\global\queue                                                                                               |          1 |         20 |          0 |          3 |         23 |
| src\core\global\queueProcessor                                                                                      |          4 |        123 |         16 |         37 |        176 |
| src\core\global\queueProcessor (Files)                                                                              |          3 |         85 |         16 |         26 |        127 |
| src\core\global\queueProcessor\consumer                                                                             |          1 |         38 |          0 |         11 |         49 |
| src\core\global\redis                                                                                               |          2 |         58 |          1 |         14 |         73 |
| src\core\global\ses                                                                                                 |          3 |        385 |          5 |         48 |        438 |
| src\core\global\ses (Files)                                                                                         |          2 |        368 |          5 |         44 |        417 |
| src\core\global\ses\dto                                                                                             |          1 |         17 |          0 |          4 |         21 |
| src\core\guard                                                                                                      |          4 |         85 |          8 |         21 |        114 |
| src\core\interceptor                                                                                                |          3 |         64 |          0 |          8 |         72 |
| src\core\interface                                                                                                  |          2 |         63 |          0 |         10 |         73 |
| src\core\swagger                                                                                                    |          3 |         99 |          0 |         27 |        126 |
| src\core\swagger (Files)                                                                                            |          1 |         21 |          0 |          3 |         24 |
| src\core\swagger\dto                                                                                                |          1 |          7 |          0 |          3 |         10 |
| src\core\swagger\response                                                                                           |          1 |         71 |          0 |         21 |         92 |
| src\helper                                                                                                          |          7 |        380 |         14 |         76 |        470 |
| src\modules                                                                                                         |         72 |      1,835 |          0 |        413 |      2,248 |
| src\modules\author                                                                                                  |          8 |        176 |          0 |         41 |        217 |
| src\modules\author (Files)                                                                                          |          5 |        139 |          0 |         30 |        169 |
| src\modules\author-like                                                                                             |          7 |        147 |          0 |         39 |        186 |
| src\modules\author-like (Files)                                                                                     |          5 |        136 |          0 |         34 |        170 |
| src\modules\author-like\dto                                                                                         |          2 |         11 |          0 |          5 |         16 |
| src\modules\author\dto                                                                                              |          3 |         37 |          0 |         11 |         48 |
| src\modules\categories                                                                                              |          8 |        185 |          0 |         43 |        228 |
| src\modules\categories (Files)                                                                                      |          5 |        148 |          0 |         32 |        180 |
| src\modules\categories\dto                                                                                          |          3 |         37 |          0 |         11 |         48 |
| src\modules\example                                                                                                 |          8 |        273 |          0 |         55 |        328 |
| src\modules\example (Files)                                                                                         |          3 |        145 |          0 |         22 |        167 |
| src\modules\example\dto                                                                                             |          2 |         96 |          0 |         20 |        116 |
| src\modules\example\swagger                                                                                         |          3 |         32 |          0 |         13 |         45 |
| src\modules\example\swagger\input                                                                                   |          1 |          6 |          0 |          3 |          9 |
| src\modules\example\swagger\output                                                                                  |          2 |         26 |          0 |         10 |         36 |
| src\modules\playlists                                                                                               |          8 |        295 |          0 |         52 |        347 |
| src\modules\playlists (Files)                                                                                       |          5 |        262 |          0 |         41 |        303 |
| src\modules\playlists\dto                                                                                           |          3 |         33 |          0 |         11 |         44 |
| src\modules\song-like                                                                                               |          8 |        143 |          0 |         40 |        183 |
| src\modules\song-like (Files)                                                                                       |          5 |        131 |          0 |         34 |        165 |
| src\modules\song-like\dto                                                                                           |          2 |         11 |          0 |          5 |         16 |
| src\modules\song-like\entities                                                                                      |          1 |          1 |          0 |          1 |          2 |
| src\modules\songs                                                                                                   |          8 |        327 |          0 |         57 |        384 |
| src\modules\songs (Files)                                                                                           |          5 |        275 |          0 |         44 |        319 |
| src\modules\songs\dto                                                                                               |          3 |         52 |          0 |         13 |         65 |
| src\modules\upload                                                                                                  |          7 |        128 |          0 |         34 |        162 |
| src\modules\upload (Files)                                                                                          |          5 |        122 |          0 |         30 |        152 |
| src\modules\upload\dto                                                                                              |          2 |          6 |          0 |          4 |         10 |
| src\modules\users                                                                                                   |          7 |        128 |          0 |         39 |        167 |
| src\modules\users (Files)                                                                                           |          5 |        124 |          0 |         35 |        159 |
| src\modules\users\dto                                                                                               |          2 |          4 |          0 |          4 |          8 |
| src\modules\webhook                                                                                                 |          3 |         33 |          0 |         13 |         46 |
| test                                                                                                                |          2 |         29 |          0 |          6 |         35 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\project\DATN\spotify-clone\server\.dockerignore                                                                  | Ignore             |         11 |          1 |          2 |         14 |
| d:\project\DATN\spotify-clone\server\.eslintrc.yml                                                                  | YAML               |         70 |          0 |          1 |         71 |
| d:\project\DATN\spotify-clone\server\.lintstagedrc.yml                                                              | YAML               |          7 |          0 |          1 |          8 |
| d:\project\DATN\spotify-clone\server\.prettierignore                                                                | Ignore             |          2 |          0 |          1 |          3 |
| d:\project\DATN\spotify-clone\server\.prettierrc                                                                    | JSON               |          4 |          0 |          1 |          5 |
| d:\project\DATN\spotify-clone\server\Dockerfile                                                                     | Docker             |         14 |          3 |          8 |         25 |
| d:\project\DATN\spotify-clone\server\README.md                                                                      | Markdown           |        252 |          0 |         54 |        306 |
| d:\project\DATN\spotify-clone\server\docker-compose.yml                                                             | YAML               |         12 |          0 |          1 |         13 |
| d:\project\DATN\spotify-clone\server\i18n\en\error.json                                                             | JSON               |         64 |          0 |          1 |         65 |
| d:\project\DATN\spotify-clone\server\i18n\ja\error.json                                                             | JSON               |         73 |          0 |          1 |         74 |
| d:\project\DATN\spotify-clone\server\nest-cli.json                                                                  | JSON               |          8 |          0 |          1 |          9 |
| d:\project\DATN\spotify-clone\server\package.json                                                                   | JSON               |        159 |          0 |          1 |        160 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240319070551_init\migration.sql                            | SQL                |         29 |          8 |         11 |         48 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240319070729_change_name_table\migration.sql               | SQL                |         28 |         18 |         13 |         59 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240319082851_change_fullname\migration.sql                 | SQL                |          2 |          8 |          1 |         11 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240321163036_change_name_user_id\migration.sql             | SQL                |          4 |         10 |          3 |         17 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240516181334_add_author_category\migration.sql             | SQL                |         56 |         33 |         24 |        113 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240516182159_change_name_table\migration.sql               | SQL                |         41 |         27 |         22 |         90 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240518112024_change_name_playlist\migration.sql            | SQL                |          4 |         11 |          3 |         18 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240518161238_change_playlist_relation\migration.sql        | SQL                |         18 |         16 |         11 |         45 |
| d:\project\DATN\spotify-clone\server\prisma\migrations\20240522091728_update_banner\migration.sql                   | SQL                |          4 |          4 |          4 |         12 |
| d:\project\DATN\spotify-clone\server\prisma\reset.prisma                                                            | Prisma             |         10 |          1 |          3 |         14 |
| d:\project\DATN\spotify-clone\server\prisma\schema.prisma                                                           | Prisma             |        108 |          4 |         22 |        134 |
| d:\project\DATN\spotify-clone\server\prisma\seed.ts                                                                 | TypeScript         |         14 |         38 |          2 |         54 |
| d:\project\DATN\spotify-clone\server\src\app.controller.ts                                                          | TypeScript         |         19 |          6 |          7 |         32 |
| d:\project\DATN\spotify-clone\server\src\app.module.ts                                                              | TypeScript         |        111 |         12 |          4 |        127 |
| d:\project\DATN\spotify-clone\server\src\app.service.ts                                                             | TypeScript         |         34 |         32 |          8 |         74 |
| d:\project\DATN\spotify-clone\server\src\core\config\configuration.config.ts                                        | TypeScript         |        103 |          0 |         11 |        114 |
| d:\project\DATN\spotify-clone\server\src\core\config\index.ts                                                       | TypeScript         |          1 |          0 |          1 |          2 |
| d:\project\DATN\spotify-clone\server\src\core\constant\index.ts                                                     | TypeScript         |         26 |          2 |          1 |         29 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\disable.decorator.ts                                        | TypeScript         |          2 |          0 |          2 |          4 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\guardResponse.decorator.ts                                  | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\index.ts                                                    | TypeScript         |          6 |          0 |          1 |          7 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\public.decorator.ts                                         | TypeScript         |          3 |          0 |          2 |          5 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\queryPaging.decorator.ts                                    | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\requestHeader.decorator.ts                                  | TypeScript         |         27 |          0 |          6 |         33 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\roles.decorator.ts                                          | TypeScript         |          4 |          0 |          3 |          7 |
| d:\project\DATN\spotify-clone\server\src\core\decorator\user.decorator.ts                                           | TypeScript         |          8 |          0 |          2 |         10 |
| d:\project\DATN\spotify-clone\server\src\core\enum\default.enum.ts                                                  | TypeScript         |        315 |          3 |         46 |        364 |
| d:\project\DATN\spotify-clone\server\src\core\enum\error.enum.ts                                                    | TypeScript         |         88 |          0 |          1 |         89 |
| d:\project\DATN\spotify-clone\server\src\core\enum\index.ts                                                         | TypeScript         |          2 |          0 |          1 |          3 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.controller.ts                                        | TypeScript         |         49 |          0 |          7 |         56 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.module.ts                                            | TypeScript         |         28 |          1 |          4 |         33 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.service.ts                                           | TypeScript         |        104 |          0 |         21 |        125 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\index.ts                                              | TypeScript         |          2 |          0 |          1 |          3 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\systemLogin.dto.ts                                    | TypeScript         |         16 |          0 |          4 |         20 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\systemSignUp.dto.ts                                   | TypeScript         |         35 |          0 |          6 |         41 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\guard\jwtAuth.guard.ts                                    | TypeScript         |         41 |          4 |         11 |         56 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\guard\roles.guard.ts                                      | TypeScript         |         27 |          1 |          6 |         34 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\interface\auth.interface.ts                               | TypeScript         |         26 |          3 |          4 |         33 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\interface\index.ts                                        | TypeScript         |          1 |          0 |          1 |          2 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\strategy\jwt.strategy.ts                                  | TypeScript         |         33 |          9 |         10 |         52 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\profile.response.ts                        | TypeScript         |         99 |          0 |         26 |        125 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\systemLogin.response.ts                    | TypeScript         |         10 |          0 |          3 |         13 |
| d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\systemSignUp.response.ts                   | TypeScript         |          6 |          0 |          3 |          9 |
| d:\project\DATN\spotify-clone\server\src\core\global\constance\constance.module.ts                                  | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\global\constance\constance.service.ts                                 | TypeScript         |         36 |          1 |          7 |         44 |
| d:\project\DATN\spotify-clone\server\src\core\global\ecs\ecs.module.ts                                              | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\global\ecs\ecs.service.ts                                             | TypeScript         |         54 |          1 |         15 |         70 |
| d:\project\DATN\spotify-clone\server\src\core\global\i18nCustom\i18nCustom.module.ts                                | TypeScript         |         28 |          0 |          3 |         31 |
| d:\project\DATN\spotify-clone\server\src\core\global\i18nCustom\i18nCustom.service.ts                               | TypeScript         |         16 |          1 |          4 |         21 |
| d:\project\DATN\spotify-clone\server\src\core\global\prisma\prisma.module.ts                                        | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\global\prisma\prisma.service.ts                                       | TypeScript         |         46 |          0 |          5 |         51 |
| d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\consumer\sendMailTempleUpdateEvent.processor.ts | TypeScript         |         38 |          0 |         11 |         49 |
| d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueIdentity.constant.ts                       | TypeScript         |         12 |         15 |          6 |         33 |
| d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueProcessor.module.ts                        | TypeScript         |         16 |          1 |          3 |         20 |
| d:\project\DATN\spotify-clone\server\src\core\global\queueProcessor\queueProcessor.service.ts                       | TypeScript         |         57 |          0 |         17 |         74 |
| d:\project\DATN\spotify-clone\server\src\core\global\queue\queue.module.ts                                          | TypeScript         |         20 |          0 |          3 |         23 |
| d:\project\DATN\spotify-clone\server\src\core\global\redis\redis.module.ts                                          | TypeScript         |         39 |          1 |          8 |         48 |
| d:\project\DATN\spotify-clone\server\src\core\global\redis\redis.service.ts                                         | TypeScript         |         19 |          0 |          6 |         25 |
| d:\project\DATN\spotify-clone\server\src\core\global\ses\dto\ses-webhook.dto.ts                                     | TypeScript         |         17 |          0 |          4 |         21 |
| d:\project\DATN\spotify-clone\server\src\core\global\ses\ses.module.ts                                              | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\core\global\ses\ses.service.ts                                             | TypeScript         |        360 |          5 |         41 |        406 |
| d:\project\DATN\spotify-clone\server\src\core\guard\base.guard.ts                                                   | TypeScript         |         11 |          0 |          5 |         16 |
| d:\project\DATN\spotify-clone\server\src\core\guard\disable.guard.ts                                                | TypeScript         |         20 |          0 |          5 |         25 |
| d:\project\DATN\spotify-clone\server\src\core\guard\index.ts                                                        | TypeScript         |          2 |          0 |          1 |          3 |
| d:\project\DATN\spotify-clone\server\src\core\guard\role.guard.ts                                                   | TypeScript         |         52 |          8 |         10 |         70 |
| d:\project\DATN\spotify-clone\server\src\core\interceptor\index.ts                                                  | TypeScript         |          2 |          0 |          1 |          3 |
| d:\project\DATN\spotify-clone\server\src\core\interceptor\post.interceptor.ts                                       | TypeScript         |         28 |          0 |          4 |         32 |
| d:\project\DATN\spotify-clone\server\src\core\interceptor\response.interceptor.ts                                   | TypeScript         |         34 |          0 |          3 |         37 |
| d:\project\DATN\spotify-clone\server\src\core\interface\default.interface.ts                                        | TypeScript         |         62 |          0 |          9 |         71 |
| d:\project\DATN\spotify-clone\server\src\core\interface\index.ts                                                    | TypeScript         |          1 |          0 |          1 |          2 |
| d:\project\DATN\spotify-clone\server\src\core\swagger\dto\index.swagger.ts                                          | TypeScript         |          7 |          0 |          3 |         10 |
| d:\project\DATN\spotify-clone\server\src\core\swagger\index.ts                                                      | TypeScript         |         21 |          0 |          3 |         24 |
| d:\project\DATN\spotify-clone\server\src\core\swagger\response\index.response.ts                                    | TypeScript         |         71 |          0 |         21 |         92 |
| d:\project\DATN\spotify-clone\server\src\helper\env.validation.ts                                                   | TypeScript         |         47 |          0 |         16 |         63 |
| d:\project\DATN\spotify-clone\server\src\helper\httpException.filter.ts                                             | TypeScript         |         45 |          3 |         11 |         59 |
| d:\project\DATN\spotify-clone\server\src\helper\logger.middleware.ts                                                | TypeScript         |         12 |          0 |          3 |         15 |
| d:\project\DATN\spotify-clone\server\src\helper\nodemailer.ts                                                       | TypeScript         |         38 |          1 |          9 |         48 |
| d:\project\DATN\spotify-clone\server\src\helper\sendgrid.ts                                                         | TypeScript         |         36 |          0 |          8 |         44 |
| d:\project\DATN\spotify-clone\server\src\helper\utils.ts                                                            | TypeScript         |        169 |          8 |         26 |        203 |
| d:\project\DATN\spotify-clone\server\src\helper\validation.pipe.ts                                                  | TypeScript         |         33 |          2 |          3 |         38 |
| d:\project\DATN\spotify-clone\server\src\main.ts                                                                    | TypeScript         |         64 |          2 |         14 |         80 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\author-like.controller.spec.ts                         | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\author-like.controller.ts                              | TypeScript         |         39 |          0 |          9 |         48 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\author-like.module.ts                                  | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\author-like.service.spec.ts                            | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\author-like.service.ts                                 | TypeScript         |         59 |          0 |         10 |         69 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\dto\create-author-like.dto.ts                          | TypeScript         |          8 |          0 |          2 |         10 |
| d:\project\DATN\spotify-clone\server\src\modules\author-like\dto\update-author-like.dto.ts                          | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\author\author.controller.spec.ts                                   | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\author\author.controller.ts                                        | TypeScript         |         26 |          0 |          7 |         33 |
| d:\project\DATN\spotify-clone\server\src\modules\author\author.module.ts                                            | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\author\author.service.spec.ts                                      | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\author\author.service.ts                                           | TypeScript         |         75 |          0 |          8 |         83 |
| d:\project\DATN\spotify-clone\server\src\modules\author\dto\create-author.dto.ts                                    | TypeScript         |         18 |          0 |          5 |         23 |
| d:\project\DATN\spotify-clone\server\src\modules\author\dto\find-author.dto.ts                                      | TypeScript         |         16 |          0 |          3 |         19 |
| d:\project\DATN\spotify-clone\server\src\modules\author\dto\update-author.dto.ts                                    | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\categories.controller.spec.ts                           | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\categories.controller.ts                                | TypeScript         |         30 |          0 |          8 |         38 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\categories.module.ts                                    | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\categories.service.spec.ts                              | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\categories.service.ts                                   | TypeScript         |         80 |          0 |          9 |         89 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\dto\create-category.dto.ts                              | TypeScript         |         18 |          0 |          5 |         23 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\dto\find-category.dto.ts                                | TypeScript         |         16 |          0 |          3 |         19 |
| d:\project\DATN\spotify-clone\server\src\modules\categories\dto\update-category.dto.ts                              | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\example\dto\createExample.dto.ts                                   | TypeScript         |         73 |          0 |         14 |         87 |
| d:\project\DATN\spotify-clone\server\src\modules\example\dto\updateExample.dto.ts                                   | TypeScript         |         23 |          0 |          6 |         29 |
| d:\project\DATN\spotify-clone\server\src\modules\example\example.controller.ts                                      | TypeScript         |         81 |          0 |         10 |         91 |
| d:\project\DATN\spotify-clone\server\src\modules\example\example.module.ts                                          | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\example\example.service.ts                                         | TypeScript         |         56 |          0 |          9 |         65 |
| d:\project\DATN\spotify-clone\server\src\modules\example\swagger\input\getExample.response.ts                       | TypeScript         |          6 |          0 |          3 |          9 |
| d:\project\DATN\spotify-clone\server\src\modules\example\swagger\output\createExample.response.ts                   | TypeScript         |          7 |          0 |          4 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\example\swagger\output\getExamples.response.ts                     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\dto\add-song-to-playlist.dto.ts                          | TypeScript         |         12 |          0 |          3 |         15 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\dto\create-playlist.dto.ts                               | TypeScript         |         18 |          0 |          5 |         23 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\dto\update-playlist.dto.ts                               | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.controller.spec.ts                             | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.controller.ts                                  | TypeScript         |         57 |          0 |         10 |         67 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.module.ts                                      | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.service.spec.ts                                | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\playlists\playlists.service.ts                                     | TypeScript         |        167 |          0 |         16 |        183 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\dto\create-song-like.dto.ts                              | TypeScript         |          8 |          0 |          2 |         10 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\dto\update-song-like.dto.ts                              | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\entities\song-like.entity.ts                             | TypeScript         |          1 |          0 |          1 |          2 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.controller.spec.ts                             | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.controller.ts                                  | TypeScript         |         36 |          0 |          9 |         45 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.module.ts                                      | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.service.spec.ts                                | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\song-like\song-like.service.ts                                     | TypeScript         |         57 |          0 |         10 |         67 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\dto\create-song.dto.ts                                       | TypeScript         |         33 |          0 |          7 |         40 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\dto\find-song.dto.ts                                         | TypeScript         |         16 |          0 |          3 |         19 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\dto\update-song.dto.ts                                       | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\songs.controller.spec.ts                                     | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\songs.controller.ts                                          | TypeScript         |         57 |          0 |         11 |         68 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\songs.module.ts                                              | TypeScript         |          8 |          0 |          3 |         11 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\songs.service.spec.ts                                        | TypeScript         |         14 |          0 |          6 |         20 |
| d:\project\DATN\spotify-clone\server\src\modules\songs\songs.service.ts                                             | TypeScript         |        180 |          0 |         18 |        198 |
| d:\project\DATN\spotify-clone\server\src\modules\upload\dto\create-upload.dto.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| d:\project\DATN\spotify-clone\server\src\modules\upload\dto\update-upload.dto.ts                                    | TypeScript         |          3 |          0 |          3 |          6 |
| d:\project\DATN\spotify-clone\server\src\modules\upload\upload.controller.spec.ts                                   | TypeScript         |         16 |          0 |          6 |         22 |
| d:\project\DATN\spotify-clone\server\src\modules\upload\upload.controller.ts                                        | TypeScript         |         63 |          0 |          8 |         71 |
| d:\project\DATN\spotify-clone\server\src\modules\upload\upload.module.ts                                            | TypeScript         |          8 |          0 |          3 |         11 |
